;;;;;;;;;;Utility;Runtime;SuppressionLimit;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.99999;0.375;0.05;5;30162;9;0.1284894419;7520.0;0.0;0.0;7.608262E-4;7.608262E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.4;0.05;5;30162;9;0.1461434932;7351.0;0.0;0.0;6.225293E-4;6.225293E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.425;0.05;5;30162;9;0.1700444174;6670.0;3.0;9.94629E-5;7.663392E-4;7.59427E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.45;0.05;5;30162;9;0.1700444174;6848.0;3.0;9.94629E-5;7.663392E-4;7.59427E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.475;0.05;5;30162;9;0.1706193049;6828.0;3.0;9.94629E-5;3.026221E-4;2.956019E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.5;0.05;5;30162;9;0.1706193049;6738.0;3.0;9.94629E-5;3.026221E-4;2.956019E-4;5.0
Adult;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;30162;9;0.2704078676;1274.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.025;0.05;10;30162;9;0.2704078676;1205.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.05;0.05;10;30162;9;0.2704078676;1195.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.075;0.05;10;30162;9;0.2704078676;1186.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.1;0.05;10;30162;9;0.2704078676;1248.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.125;0.05;10;30162;9;0.2704078676;1241.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.15;0.05;10;30162;9;0.2704078676;1260.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.175;0.05;10;30162;9;0.2704078676;1243.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.2;0.05;10;30162;9;0.2704078676;1240.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.225;0.05;10;30162;9;0.2704078676;1240.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.25;0.05;10;30162;9;0.2704078676;1221.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.275;0.05;10;30162;9;0.2694483218;1235.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.3;0.05;10;30162;9;0.2694483218;1234.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.325;0.05;10;30162;9;0.2694483218;1238.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.35;0.05;10;30162;9;0.2694483218;1237.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.375;0.05;10;30162;9;0.2694483218;1247.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.4;0.05;10;30162;9;0.2694483218;1240.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.425;0.05;10;30162;9;0.2694483218;1200.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.45;0.05;10;30162;9;0.2694483218;1242.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.475;0.05;10;30162;9;0.2694483218;1243.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.05;0.5;0.05;10;30162;9;0.2694483218;1251.0;0.0;0.0;2.522254E-4;2.522254E-4;3.0
Adult;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;30162;9;0.2125316729;1305.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.025;0.05;10;30162;9;0.2125316729;1376.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.05;0.05;10;30162;9;0.2125316729;1351.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.075;0.05;10;30162;9;0.2125316729;1441.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.1;0.05;10;30162;9;0.2125316729;1498.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.125;0.05;10;30162;9;0.2125316729;1494.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.15;0.05;10;30162;9;0.2125316729;1493.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.175;0.05;10;30162;9;0.2125316729;1492.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.2;0.05;10;30162;9;0.2125316729;1516.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.225;0.05;10;30162;9;0.2125316729;1574.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.25;0.05;10;30162;9;0.2125316729;1587.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.275;0.05;10;30162;9;0.2125316729;1506.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.3;0.05;10;30162;9;0.2125316729;1587.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.325;0.05;10;30162;9;0.2181262252;1565.0;1.0;3.31543E-5;3.107315E-4;3.086053E-4;5.0
Adult;Loss;10-anonymity;RGR;0.1;0.35;0.05;10;30162;9;0.2181262252;1637.0;1.0;3.31543E-5;3.107315E-4;3.086053E-4;5.0
Adult;Loss;10-anonymity;RGR;0.1;0.375;0.05;10;30162;9;0.2181262252;1633.0;1.0;3.31543E-5;3.107315E-4;3.086053E-4;5.0
Adult;Loss;10-anonymity;RGR;0.1;0.4;0.05;10;30162;9;0.2181262252;1599.0;1.0;3.31543E-5;3.107315E-4;3.086053E-4;5.0
Adult;Loss;10-anonymity;RGR;0.1;0.425;0.05;10;30162;9;0.2181262252;1600.0;1.0;3.31543E-5;3.107315E-4;3.086053E-4;5.0
Adult;Loss;10-anonymity;RGR;0.1;0.45;0.05;10;30162;9;0.2192058805;1634.0;11.0;3.646973E-4;2.728027E-4;2.493567E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.475;0.05;10;30162;9;0.2192058805;1690.0;11.0;3.646973E-4;2.728027E-4;2.493567E-4;4.0
Adult;Loss;10-anonymity;RGR;0.1;0.5;0.05;10;30162;9;0.2192058805;1682.0;11.0;3.646973E-4;2.728027E-4;2.493567E-4;4.0
Adult;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;30162;9;0.0773942893;10803.0;4.0;1.326172E-4;0.0013359451;0.0013258718;82.0
Adult;Loss;10-anonymity;RGR;0.95;0.025;0.05;10;30162;9;0.077831904;18766.0;0.0;0.0;0.0013436758;0.0013436758;82.0
Adult;Loss;10-anonymity;RGR;0.95;0.05;0.05;10;30162;9;0.0830224602;29454.0;3.0;9.94629E-5;0.0012677702;0.0012601866;76.0
Adult;Loss;10-anonymity;RGR;0.95;0.075;0.05;10;30162;9;0.0879123627;31512.0;12.0;3.978516E-4;0.0013764299;0.0013463228;69.0
Adult;Loss;10-anonymity;RGR;0.95;0.1;0.05;10;30162;9;0.0979428968;28266.0;12.0;3.978516E-4;0.0011349833;0.0011052681;62.0
Adult;Loss;10-anonymity;RGR;0.95;0.125;0.05;10;30162;9;0.1054924852;12908.0;5.0;1.657715E-4;0.0011751756;0.0011628393;29.0
Adult;Loss;10-anonymity;RGR;0.95;0.15;0.05;10;30162;9;0.1250817769;7158.0;10.0;3.31543E-4;8.633339E-4;8.386734E-4;13.0
Adult;Loss;10-anonymity;RGR;0.95;0.175;0.05;10;30162;9;0.1311922191;7464.0;7.0;2.320801E-4;7.048847E-4;6.877272E-4;16.0
Adult;Loss;10-anonymity;RGR;0.95;0.2;0.05;10;30162;9;0.1337718979;7505.0;5.0;1.657715E-4;0.0011359542;0.0011238733;8.0
Adult;Loss;10-anonymity;RGR;0.95;0.225;0.05;10;30162;9;0.1385695431;7337.0;5.0;1.657715E-4;9.63752E-4;9.515746E-4;9.0
Adult;Loss;10-anonymity;RGR;0.95;0.25;0.05;10;30162;9;0.1387071776;7599.0;7.0;2.320801E-4;9.524306E-4;9.353722E-4;6.0
Adult;Loss;10-anonymity;RGR;0.95;0.275;0.05;10;30162;9;0.1594329422;7110.0;3.0;9.94629E-5;0.0012584319;0.0012516758;8.0
Adult;Loss;10-anonymity;RGR;0.95;0.3;0.05;10;30162;9;0.1594329422;7280.0;3.0;9.94629E-5;0.0012584319;0.0012516758;8.0
Adult;Loss;10-anonymity;RGR;0.95;0.325;0.05;10;30162;9;0.1619925417;7393.0;1.0;3.31543E-5;5.50206E-4;5.478991E-4;7.0
Adult;Loss;10-anonymity;RGR;0.95;0.35;0.05;10;30162;9;0.1619925417;7500.0;1.0;3.31543E-5;5.50206E-4;5.478991E-4;7.0
Adult;Loss;10-anonymity;RGR;0.95;0.375;0.05;10;30162;9;0.1619925417;7686.0;1.0;3.31543E-5;5.50206E-4;5.478991E-4;7.0
Adult;Loss;10-anonymity;RGR;0.95;0.4;0.05;10;30162;9;0.1622243281;7814.0;0.0;0.0;5.478744E-4;5.478744E-4;4.0
Adult;Loss;10-anonymity;RGR;0.95;0.425;0.05;10;30162;9;0.1856432206;7295.0;6.0;1.989258E-4;4.61224E-4;4.473242E-4;6.0
Adult;Loss;10-anonymity;RGR;0.95;0.45;0.05;10;30162;9;0.1857994794;7415.0;5.0;1.657715E-4;4.508564E-4;4.392691E-4;5.0
Adult;Loss;10-anonymity;RGR;0.95;0.475;0.05;10;30162;9;0.1857994794;7523.0;5.0;1.657715E-4;4.508564E-4;4.392691E-4;5.0
Adult;Loss;10-anonymity;RGR;0.95;0.5;0.05;10;30162;9;0.1857994794;7433.0;5.0;1.657715E-4;4.508564E-4;4.392691E-4;5.0
Adult;Loss;10-anonymity;RGR;0.99999;0.0;0.05;10;30162;9;0.0751910005;62725.0;5.0;1.657715E-4;0.0014560632;0.0014435012;367.0
Adult;Loss;10-anonymity;RGR;0.99999;0.025;0.05;10;30162;9;0.0752477817;132847.0;4.0;1.326172E-4;0.0014191996;0.0014091311;350.0
Adult;Loss;10-anonymity;RGR;0.99999;0.05;0.05;10;30162;9;0.0798941494;248394.0;8.0;2.652344E-4;0.0013614086;0.0013412022;359.0
Adult;Loss;10-anonymity;RGR;0.99999;0.075;0.05;10;30162;9;0.085568414;309073.0;9.0;2.983887E-4;0.0014524226;0.0014298418;332.0
Adult;Loss;10-anonymity;RGR;0.99999;0.1;0.05;10;30162;9;0.0950486925;303112.0;8.0;2.652344E-4;0.0012536498;0.0012338912;288.0
Adult;Loss;10-anonymity;RGR;0.99999;0.125;0.05;10;30162;9;0.1038441335;93262.0;12.0;3.978516E-4;0.001313372;0.0012838584;129.0
Adult;Loss;10-anonymity;RGR;0.99999;0.15;0.05;10;30162;9;0.12383641;19770.0;0.0;0.0;8.344284E-4;8.344284E-4;36.0
Adult;Loss;10-anonymity;RGR;0.99999;0.175;0.05;10;30162;9;0.1309414474;10982.0;0.0;0.0;6.634621E-4;6.634621E-4;18.0
Adult;Loss;10-anonymity;RGR;0.99999;0.2;0.05;10;30162;9;0.1337718979;8671.0;5.0;1.657715E-4;0.0011359542;0.0011238733;8.0
Adult;Loss;10-anonymity;RGR;0.99999;0.225;0.05;10;30162;9;0.1385695431;8334.0;5.0;1.657715E-4;9.63752E-4;9.515746E-4;9.0
Adult;Loss;10-anonymity;RGR;0.99999;0.25;0.05;10;30162;9;0.1387071776;8545.0;7.0;2.320801E-4;9.524306E-4;9.353722E-4;6.0
Adult;Loss;10-anonymity;RGR;0.99999;0.275;0.05;10;30162;9;0.1594329422;8060.0;3.0;9.94629E-5;0.0012584319;0.0012516758;8.0
