;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;6000;9;0.1160572129;6145.0;0.0;0.0;0.0294928666;0.0294928666
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;7000;9;0.1098133191;7971.0;0.0;0.0;0.0279515474;0.0279515474
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;8000;9;0.1044140447;10848.0;0.0;0.0;0.0275090709;0.0275090709
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;9000;9;0.1004863983;13696.0;0.0;0.0;0.027264861;0.027264861
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;10000;9;0.0961105383;17026.0;0.0;0.0;0.0266580491;0.0266580491
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;11000;9;0.0924923865;20267.0;0.0;0.0;0.0261471287;0.0261471287
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;12000;9;0.0895522672;24145.0;0.0;0.0;0.0256643348;0.0256643348
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;13000;9;0.0858410894;28618.0;0.0;0.0;0.0251172385;0.0251172385
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;14000;9;0.0841815537;33122.0;0.0;0.0;0.0250316326;0.0250316326
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;15000;9;0.081723725;37934.0;0.0;0.0;0.0243863467;0.0243863467
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;16000;9;0.0795829515;43667.0;0.0;0.0;0.0243659342;0.0243659342
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;17000;9;0.0779783646;48836.0;0.0;0.0;0.0240701871;0.0240701871
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;18000;9;0.0766886516;54836.0;0.0;0.0;0.0238613214;0.0238613214
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;19000;9;0.0748453402;60747.0;0.0;0.0;0.023358734;0.023358734
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;20000;9;0.072988343;67396.0;0.0;0.0;0.0232743991;0.0232743991
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;21000;9;0.0717925275;74853.0;0.0;0.0;0.0230214297;0.0230214297
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;22000;9;0.0706877636;82118.0;0.0;0.0;0.0226854059;0.0226854059
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;23000;9;0.06970507;89261.0;0.0;0.0;0.0226859421;0.0226859421
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;24000;9;0.0684106399;97650.0;0.0;0.0;0.0224714337;0.0224714337
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;25000;9;0.0668987037;108109.0;0.0;0.0;0.022034953;0.022034953
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;26000;9;0.0664469862;117545.0;0.0;0.0;0.0220660944;0.0220660944
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;27000;9;0.0654738437;126255.0;0.0;0.0;0.0221451539;0.0221451539
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;28000;9;0.0643001014;137691.0;0.0;0.0;0.0216691015;0.0216691015
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;29000;9;0.0631901044;150731.0;0.0;0.0;0.0215331414;0.0215331414
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30000;9;0.0622666807;162834.0;0.0;0.0;0.0211816451;0.0211816451
