;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.1;0.25;0.05;5.0;63441.0;8.0;0.12265762490614267;7802.6;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.3;0.05;5.0;63441.0;8.0;0.12265762490614267;7742.2;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.35;0.05;5.0;63441.0;8.0;0.12265762490614267;8037.2;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.4;0.05;5.0;63441.0;8.0;0.12265762490614267;8042.6;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.45;0.05;5.0;63441.0;8.0;0.12265762490614267;8061.2;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.5;0.05;5.0;63441.0;8.0;0.1233346195032465;8304.8;1.0;1.5762677133084283E-5;0.0017420035288189105;0.001738371699952821
Cup;Loss;5-anonymity;RGR;0.2;0.0;0.05;5.0;63441.0;8.0;0.0992297773909582;9005.0;2.0;3.1525354266168566E-5;0.0055302657693865375;0.005521731289212952
Cup;Loss;5-anonymity;RGR;0.2;0.05;0.05;5.0;63441.0;8.0;0.10142800868236783;8438.2;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.2;0.1;0.05;5.0;63441.0;8.0;0.10142800868236783;8086.6;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.2;0.15;0.05;5.0;63441.0;8.0;0.11177650548018551;7587.6;3.0;4.728803139925285E-5;0.0025512984953798405;0.0025398735499419615
Cup;Loss;5-anonymity;RGR;0.2;0.2;0.05;5.0;63441.0;8.0;0.11177650548018551;7854.2;3.0;4.728803139925285E-5;0.0025512984953798405;0.0025398735499419615
Cup;Loss;5-anonymity;RGR;0.2;0.25;0.05;5.0;63441.0;8.0;0.11933193008374035;7663.8;1.0;1.5762677133084283E-5;0.001191815203076607;0.0011881680606754305
Cup;Loss;5-anonymity;RGR;0.2;0.3;0.05;5.0;63441.0;8.0;0.11941787029673892;8043.8;1.0;1.5762677133084283E-5;0.0012163272829248336;0.0012126828177469247
Cup;Loss;5-anonymity;RGR;0.2;0.35;0.05;5.0;63441.0;8.0;0.11941787029673892;8224.6;1.0;1.5762677133084283E-5;0.0012163272829248336;0.0012126828177469247
Cup;Loss;5-anonymity;RGR;0.2;0.4;0.05;5.0;63441.0;8.0;0.12251136299370154;9155.4;1.0;1.5762677133084283E-5;0.0014828441642963594;0.001479189657510958
Cup;Loss;5-anonymity;RGR;0.2;0.45;0.05;5.0;63441.0;8.0;0.12251136299370154;9500.8;1.0;1.5762677133084283E-5;0.0014828441642963594;0.001479189657510958
Cup;Loss;5-anonymity;RGR;0.2;0.5;0.05;5.0;63441.0;8.0;0.12319915799503559;9846.2;5.0;7.881338566542141E-5;0.0016420894294556826;0.0016239104866639178
Cup;Loss;5-anonymity;RGR;0.3;0.0;0.05;5.0;63441.0;8.0;0.09251218673254936;9350.4;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.3;0.05;0.05;5.0;63441.0;8.0;0.09251218673254936;10202.2;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.3;0.1;0.05;5.0;63441.0;8.0;0.10106950120560484;9258.0;1.0;1.5762677133084283E-5;0.0032360320498411913;0.003231931989239979
Cup;Loss;5-anonymity;RGR;0.3;0.15;0.05;5.0;63441.0;8.0;0.11022024987426733;9462.4;2.0;3.1525354266168566E-5;0.004047106418974488;0.004039602203265699
Cup;Loss;5-anonymity;RGR;0.3;0.2;0.05;5.0;63441.0;8.0;0.11168275434265038;9721.2;5.0;7.881338566542141E-5;0.002496023396282808;0.002476967140154422
Cup;Loss;5-anonymity;RGR;0.3;0.25;0.05;5.0;63441.0;8.0;0.11932286521580382;9390.8;4.0;6.305070853233713E-5;0.0012109894644550042;0.0011964017985670065
Cup;Loss;5-anonymity;RGR;0.3;0.3;0.05;5.0;63441.0;8.0;0.1193958674977678;9991.4;1.0;1.5762677133084283E-5;0.0012069038848220666;0.0012032591984126111
Cup;Loss;5-anonymity;RGR;0.3;0.35;0.05;5.0;63441.0;8.0;0.1193958674977678;10140.4;1.0;1.5762677133084283E-5;0.0012069038848220666;0.0012032591984126111
Cup;Loss;5-anonymity;RGR;0.3;0.4;0.05;5.0;63441.0;8.0;0.12250333854290349;10010.0;2.0;3.1525354266168566E-5;0.0014822923997850914;0.001474983018380031
Cup;Loss;5-anonymity;RGR;0.3;0.45;0.05;5.0;63441.0;8.0;0.12250333854290349;10733.6;2.0;3.1525354266168566E-5;0.0014822923997850914;0.001474983018380031
Cup;Loss;5-anonymity;RGR;0.3;0.5;0.05;5.0;63441.0;8.0;0.12318310210916532;10937.2;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
Cup;Loss;5-anonymity;RGR;0.999;0.0;0.05;5.0;63441.0;8.0;0.0722795467864906;192550.4;5.0;7.881338566542141E-5;0.008643577093336395;0.008620806026827679
Cup;Loss;5-anonymity;RGR;0.999;0.05;0.05;5.0;63441.0;8.0;0.08872878809055286;98588.2;1.0;1.5762677133084283E-5;0.0037990754467740477;0.0037948683326498468
Cup;Loss;5-anonymity;RGR;0.999;0.1;0.05;5.0;63441.0;8.0;0.09964937485461205;32729.4;5.0;7.881338566542141E-5;0.003096841790533779;0.0030763287079688725
Cup;Loss;5-anonymity;RGR;0.999;0.15;0.05;5.0;63441.0;8.0;0.10708301603727073;27646.4;4.0;6.305070853233713E-5;0.0019328246495938716;0.0019175058966075472
Cup;Loss;5-anonymity;RGR;0.999;0.2;0.05;5.0;63441.0;8.0;0.11158621388100945;28977.4;5.0;7.881338566542141E-5;0.0024880342422585427;0.002468972934102096
Cup;Loss;5-anonymity;RGR;0.999;0.25;0.05;5.0;63441.0;8.0;0.11924597943691113;28405.8;4.0;6.305070853233713E-5;0.0011766032219988614;0.0011620109082403985
Cup;Loss;5-anonymity;RGR;0.999;0.3;0.05;5.0;63441.0;8.0;0.1193843462230735;30048.2;1.0;1.5762677133084283E-5;0.0012032832501116637;0.0011996384402402434
Cup;Loss;5-anonymity;RGR;0.999;0.35;0.05;5.0;63441.0;8.0;0.1193958674977678;32708.0;1.0;1.5762677133084283E-5;0.0012069038848220666;0.0012032591984126111
Cup;Loss;5-anonymity;RGR;0.999;0.4;0.05;5.0;63441.0;8.0;0.12250333854290349;33761.2;2.0;3.1525354266168566E-5;0.0014822923997850914;0.001474983018380031
Cup;Loss;5-anonymity;RGR;0.999;0.45;0.05;5.0;63441.0;8.0;0.12250333854290349;35613.2;2.0;3.1525354266168566E-5;0.0014822923997850914;0.001474983018380031
Cup;Loss;5-anonymity;RGR;0.999;0.5;0.05;5.0;63441.0;8.0;0.12318310210916532;35770.4;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
Adult;Loss;10-anonymity;RGR;0.05;0.0;0.05;10.0;30162.0;9.0;0.3290410063904255;1212.2;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.05;0.05;10.0;30162.0;9.0;0.3290410063904255;1128.0;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.1;0.05;10.0;30162.0;9.0;0.3290410063904255;1187.2;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.15;0.05;10.0;30162.0;9.0;0.3290410063904255;1198.8;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.2;0.05;10.0;30162.0;9.0;0.3290410063904255;1180.0;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.25;0.05;10.0;30162.0;9.0;0.3290410063904255;1161.6;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.3;0.05;10.0;30162.0;9.0;0.3279955017685254;1181.4;0.0;0.0;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGR;0.05;0.35;0.05;10.0;30162.0;9.0;0.3279955017685254;1173.6;0.0;0.0;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGR;0.05;0.4;0.05;10.0;30162.0;9.0;0.3279955017685254;1181.6;0.0;0.0;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGR;0.05;0.45;0.05;10.0;30162.0;9.0;0.3279955017685254;1185.8;0.0;0.0;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGR;0.05;0.5;0.05;10.0;30162.0;9.0;0.3279955017685254;1193.8;0.0;0.0;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGR;0.1;0.0;0.05;10.0;30162.0;9.0;0.26601813226800924;1242.0;0.0;0.0;0.004371791179997593;0.004371791179997593
Adult;Loss;10-anonymity;RGR;0.1;0.05;0.05;10.0;30162.0;9.0;0.26601813226800924;1290.6;0.0;0.0;0.004371791179997593;0.004371791179997593
Adult;Loss;10-anonymity;RGR;0.1;0.1;0.05;10.0;30162.0;9.0;0.26601813226800924;1425.0;0.0;0.0;0.004371791179997593;0.004371791179997593
Adult;Loss;10-anonymity;RGR;0.1;0.15;0.05;10.0;30162.0;9.0;0.26601813226800924;1427.6;0.0;0.0;0.004371791179997593;0.004371791179997593
Adult;Loss;10-anonymity;RGR;0.1;0.2;0.05;10.0;30162.0;9.0;0.26601813226800924;1451.0;0.0;0.0;0.004371791179997593;0.004371791179997593
Adult;Loss;10-anonymity;RGR;0.1;0.25;0.05;10.0;30162.0;9.0;0.26601813226800924;1519.4;0.0;0.0;0.004371791179997593;0.004371791179997593
Adult;Loss;10-anonymity;RGR;0.1;0.3;0.05;10.0;30162.0;9.0;0.26601813226800924;1530.4;0.0;0.0;0.004371791179997593;0.004371791179997593
Adult;Loss;10-anonymity;RGR;0.1;0.35;0.05;10.0;30162.0;9.0;0.26491053964671146;1579.8;1.0;3.315430011272462E-5;0.0037581384654033897;0.00375374414467268
Adult;Loss;10-anonymity;RGR;0.1;0.4;0.05;10.0;30162.0;9.0;0.26491053964671146;1549.0;1.0;3.315430011272462E-5;0.0037581384654033897;0.00375374414467268
Adult;Loss;10-anonymity;RGR;0.1;0.45;0.05;10.0;30162.0;9.0;0.2671190498438023;1572.6;11.0;3.6469730123997083E-4;0.0031066288168742507;0.0030575361310624513
Adult;Loss;10-anonymity;RGR;0.1;0.5;0.05;10.0;30162.0;9.0;0.2671190498438023;1623.0;11.0;3.6469730123997083E-4;0.0031066288168742507;0.0030575361310624513
Adult;Loss;10-anonymity;RGR;0.2;0.0;0.05;10.0;30162.0;9.0;0.20441149530767394;1212.4;3.0;9.946290033817386E-5;0.011789158866828624;0.011771757556509447
Adult;Loss;10-anonymity;RGR;0.2;0.05;0.05;10.0;30162.0;9.0;0.19571130259157432;1339.8;4.0;1.3261720045089847E-4;0.008098548873250382;0.008074011768525128
Adult;Loss;10-anonymity;RGR;0.2;0.1;0.05;10.0;30162.0;9.0;0.19571130259157432;1386.6;4.0;1.3261720045089847E-4;0.008098548873250382;0.008074011768525128
Adult;Loss;10-anonymity;RGR;0.2;0.15;0.05;10.0;30162.0;9.0;0.19571130259157432;1532.6;4.0;1.3261720045089847E-4;0.008098548873250382;0.008074011768525128
Adult;Loss;10-anonymity;RGR;0.2;0.2;0.05;10.0;30162.0;9.0;0.19630179722975633;1728.4;2.0;6.630860022544923E-5;0.007906191714560381;0.00789388594685574
