;;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.05;0.5;0.05;5.0;63441.0;8.0;0.12410355266152488;7837.0;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.1;0.001;0.05;5.0;63441.0;8.0;0.11301330892078014;8016.6;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.03;0.05;5.0;63441.0;8.0;0.11301330892078014;8095.6;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.05;0.05;5.0;63441.0;8.0;0.11301330892078014;7764.6;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.08;0.05;5.0;63441.0;8.0;0.11301330892078014;8068.0;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.1;0.05;5.0;63441.0;8.0;0.11301330892078014;8092.6;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.13;0.05;5.0;63441.0;8.0;0.11301330892078014;8005.2;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.15;0.05;5.0;63441.0;8.0;0.11301330892078014;8069.0;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.17;0.05;5.0;63441.0;8.0;0.11301330892078014;8140.0;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.2;0.05;5.0;63441.0;8.0;0.11301330892078014;8057.0;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.3;0.05;5.0;63441.0;8.0;0.1233346195032465;7786.0;1.0;1.5762677133084283E-5;0.0017420035288189105;0.001738371699952821
Cup;Loss;5-anonymity;RGR;0.1;0.4;0.05;5.0;63441.0;8.0;0.1233346195032465;8142.2;1.0;1.5762677133084283E-5;0.0017420035288189105;0.001738371699952821
Cup;Loss;5-anonymity;RGR;0.1;0.5;0.05;5.0;63441.0;8.0;0.1233346195032465;8277.4;1.0;1.5762677133084283E-5;0.0017420035288189105;0.001738371699952821
Cup;Loss;5-anonymity;RGR;0.2;0.001;0.05;5.0;63441.0;8.0;0.10346501733498661;9031.8;5.0;7.881338566542141E-5;0.008814623548259883;0.008794123821259173
Cup;Loss;5-anonymity;RGR;0.2;0.03;0.05;5.0;63441.0;8.0;0.10346501733498661;9133.0;5.0;7.881338566542141E-5;0.008814623548259883;0.008794123821259173
Cup;Loss;5-anonymity;RGR;0.2;0.05;0.05;5.0;63441.0;8.0;0.10235078259652552;8543.8;3.0;4.728803139925285E-5;0.004507734906095817;0.004495642995164036
Cup;Loss;5-anonymity;RGR;0.2;0.08;0.05;5.0;63441.0;8.0;0.10235078259652552;8171.0;3.0;4.728803139925285E-5;0.004507734906095817;0.004495642995164036
Cup;Loss;5-anonymity;RGR;0.2;0.1;0.05;5.0;63441.0;8.0;0.10235078259652552;8143.2;3.0;4.728803139925285E-5;0.004507734906095817;0.004495642995164036
Cup;Loss;5-anonymity;RGR;0.2;0.13;0.05;5.0;63441.0;8.0;0.11275289324914625;7535.8;2.0;3.1525354266168566E-5;0.0027767371987405583;0.0027691672501293074
Cup;Loss;5-anonymity;RGR;0.2;0.15;0.05;5.0;63441.0;8.0;0.11275289324914625;7596.8;2.0;3.1525354266168566E-5;0.0027767371987405583;0.0027691672501293074
Cup;Loss;5-anonymity;RGR;0.2;0.17;0.05;5.0;63441.0;8.0;0.11275289324914625;7576.8;2.0;3.1525354266168566E-5;0.0027767371987405583;0.0027691672501293074
Cup;Loss;5-anonymity;RGR;0.2;0.2;0.05;5.0;63441.0;8.0;0.11275289324914625;8024.8;2.0;3.1525354266168566E-5;0.0027767371987405583;0.0027691672501293074
Cup;Loss;5-anonymity;RGR;0.2;0.3;0.05;5.0;63441.0;8.0;0.12319915799503559;7914.6;5.0;7.881338566542141E-5;0.0016420894294556826;0.0016239104866639178
Cup;Loss;5-anonymity;RGR;0.2;0.4;0.05;5.0;63441.0;8.0;0.12319915799503559;9356.8;5.0;7.881338566542141E-5;0.0016420894294556826;0.0016239104866639178
Cup;Loss;5-anonymity;RGR;0.2;0.5;0.05;5.0;63441.0;8.0;0.12319915799503559;9860.6;5.0;7.881338566542141E-5;0.0016420894294556826;0.0016239104866639178
Cup;Loss;5-anonymity;RGR;0.999;0.001;0.05;5.0;63441.0;8.0;0.12297113320058406;38427.2;2.0;3.1525354266168566E-5;0.0017271007867097072;0.0017198240035211218
Cup;Loss;5-anonymity;RGR;0.999;0.03;0.05;5.0;63441.0;8.0;0.12297113320058406;46192.6;2.0;3.1525354266168566E-5;0.0017271007867097072;0.0017198240035211218
Cup;Loss;5-anonymity;RGR;0.999;0.05;0.05;5.0;63441.0;8.0;0.1012581400766361;24797.0;1.0;1.5762677133084283E-5;0.00765676044972909;0.007652846747411893
Cup;Loss;5-anonymity;RGR;0.999;0.08;0.05;5.0;63441.0;8.0;0.10234523822181249;24232.2;1.0;1.5762677133084283E-5;0.004502404216209273;0.004498373636495112
Cup;Loss;5-anonymity;RGR;0.999;0.1;0.05;5.0;63441.0;8.0;0.10234523822181249;25014.8;1.0;1.5762677133084283E-5;0.004502404216209273;0.004498373636495112
Cup;Loss;5-anonymity;RGR;0.999;0.13;0.05;5.0;63441.0;8.0;0.11274356942255556;26294.0;3.0;4.728803139925285E-5;0.0027782153711748774;0.0027668601571916173
Cup;Loss;5-anonymity;RGR;0.999;0.15;0.05;5.0;63441.0;8.0;0.11274356942255556;26742.6;3.0;4.728803139925285E-5;0.0027782153711748774;0.0027668601571916173
Cup;Loss;5-anonymity;RGR;0.999;0.17;0.05;5.0;63441.0;8.0;0.11274356942255556;27391.4;3.0;4.728803139925285E-5;0.0027782153711748774;0.0027668601571916173
Cup;Loss;5-anonymity;RGR;0.999;0.2;0.05;5.0;63441.0;8.0;0.11274356942255556;29079.0;3.0;4.728803139925285E-5;0.0027782153711748774;0.0027668601571916173
Cup;Loss;5-anonymity;RGR;0.999;0.3;0.05;5.0;63441.0;8.0;0.12318310210916532;30634.6;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
Cup;Loss;5-anonymity;RGR;0.999;0.4;0.05;5.0;63441.0;8.0;0.12318310210916532;33626.6;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
Cup;Loss;5-anonymity;RGR;0.999;0.5;0.05;5.0;63441.0;8.0;0.12318310210916532;36262.2;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
