;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.5;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;5008.0;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.5;0.05;0.05;5.0;30162.0;9.0;0.0903157620860978;2259.2;1.0;3.315430011272462E-5;0.017495527309966133;0.017486754552000727
Adult;Loss;5-anonymity;RGR;0.5;0.1;0.05;5.0;30162.0;9.0;0.0991329244981604;3306.8;5.0;1.657715005636231E-4;0.019532401035856975;0.01948976119913384
Adult;Loss;5-anonymity;RGR;0.5;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;4988.2;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.6;0.05;0.0;5.0;30162.0;9.0;0.1454792116435893;4586.6;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.6;0.1;0.0;5.0;30162.0;9.0;0.13564574447974437;4928.0;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.6;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;5413.0;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.6;0.05;0.05;5.0;30162.0;9.0;0.08771886971996998;2803.8;4.0;1.3261720045089847E-4;0.0201510869205869;0.020116051935427665
Adult;Loss;5-anonymity;RGR;0.6;0.1;0.05;5.0;30162.0;9.0;0.09898293998237545;3861.2;5.0;1.657715005636231E-4;0.019444175417728398;0.019401350307259296
Adult;Loss;5-anonymity;RGR;0.6;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;5395.4;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.7;0.05;0.0;5.0;30162.0;9.0;0.1454792116435893;5003.2;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.7;0.1;0.0;5.0;30162.0;9.0;0.13564574447974437;5411.4;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.7;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;5607.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.7;0.05;0.05;5.0;30162.0;9.0;0.08326011070685711;4300.0;1.0;3.315430011272462E-5;0.017935042845145435;0.017926024193568677
Adult;Loss;5-anonymity;RGR;0.7;0.1;0.05;5.0;30162.0;9.0;0.09740103016253257;4733.8;2.0;6.630860022544923E-5;0.01898726434303337;0.01897007052481278
Adult;Loss;5-anonymity;RGR;0.7;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;5635.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.8;0.05;0.0;5.0;30162.0;9.0;0.1454792116435893;5371.6;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.8;0.1;0.0;5.0;30162.0;9.0;0.13564574447974437;5793.8;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.8;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;5835.0;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.8;0.05;0.05;5.0;30162.0;9.0;0.07927001740212694;6729.6;1.0;3.315430011272462E-5;0.015395032598606612;0.015385738038119181
Adult;Loss;5-anonymity;RGR;0.8;0.1;0.05;5.0;30162.0;9.0;0.0970741118001455;5751.2;0.0;0.0;0.018877126129772992;0.018877126129772992
Adult;Loss;5-anonymity;RGR;0.8;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;5801.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.9;0.05;0.0;5.0;30162.0;9.0;0.1454792116435893;5738.8;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.9;0.1;0.0;5.0;30162.0;9.0;0.13564574447974437;6235.2;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.9;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;6046.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.9;0.05;0.05;5.0;30162.0;9.0;0.07492406551230332;13384.0;4.0;1.3261720045089847E-4;0.0150592264612295;0.015021500748713236
Adult;Loss;5-anonymity;RGR;0.9;0.1;0.05;5.0;30162.0;9.0;0.09611222233459128;8209.0;0.0;0.0;0.01868592719019838;0.01868592719019838
Adult;Loss;5-anonymity;RGR;0.9;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;6063.2;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.95;0.05;0.0;5.0;30162.0;9.0;0.1454792116435893;6004.6;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.95;0.1;0.0;5.0;30162.0;9.0;0.13564574447974437;6496.8;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.95;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;6219.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.95;0.05;0.05;5.0;30162.0;9.0;0.07296316805562551;25291.8;2.0;6.630860022544923E-5;0.014231080763837908;0.014211939333289918
Adult;Loss;5-anonymity;RGR;0.95;0.1;0.05;5.0;30162.0;9.0;0.09494246996131618;15974.6;3.0;9.946290033817386E-5;0.018253830578646043;0.01822771720342798
Adult;Loss;5-anonymity;RGR;0.95;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;6231.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.999;0.05;0.0;5.0;30162.0;9.0;0.1454792116435893;6544.6;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.999;0.1;0.0;5.0;30162.0;9.0;0.13564574447974437;7069.8;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.999;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;6638.0;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.999;0.05;0.05;5.0;30162.0;9.0;0.06864458527388181;250012.6;4.0;1.3261720045089847E-4;0.014054361210381212;0.014015319484781685
Adult;Loss;5-anonymity;RGR;0.999;0.1;0.05;5.0;30162.0;9.0;0.09043975441758016;151685.6;2.0;6.630860022544923E-5;0.017738774989961036;0.017721109343072163
Adult;Loss;5-anonymity;RGR;0.999;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;6635.2;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
