;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;1.0;0.08;5.0;30162.0;9.0;0.39180963697462623;953.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;1.0;0.09;5.0;30162.0;9.0;0.39180963697462623;1184.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;1.0;0.09999999999999999;5.0;30162.0;9.0;0.39180963697462623;1343.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;1.0;0.10999999999999999;5.0;30162.0;9.0;0.3241057887759572;1451.0;8536.0;0.2830051057622174;0.06352937227882882;5.8118231552011906E-27
Adult;Loss;5-anonymity;Flash;1.0;0.11999999999999998;5.0;30162.0;9.0;0.3241057887759572;1594.0;8536.0;0.2830051057622174;0.06352937227882882;5.8118231552011906E-27
Adult;Loss;5-anonymity;Flash;1.0;0.12999999999999998;5.0;30162.0;9.0;0.3241057887759572;1809.0;8536.0;0.2830051057622174;0.06352937227882882;5.8118231552011906E-27
Adult;Loss;5-anonymity;Flash;1.0;0.13999999999999999;5.0;30162.0;9.0;0.3241057887759572;2098.0;8536.0;0.2830051057622174;0.06352937227882882;5.8118231552011906E-27
Adult;Loss;5-anonymity;Flash;1.0;0.15;5.0;30162.0;9.0;0.3241057887759572;2209.0;8536.0;0.2830051057622174;0.06352937227882882;5.8118231552011906E-27
Adult;Loss;5-anonymity;Flash;1.0;0.16;5.0;30162.0;9.0;0.3241057887759572;2413.0;8536.0;0.2830051057622174;0.06352937227882882;5.8118231552011906E-27
Adult;Loss;5-anonymity;Flash;1.0;0.17;5.0;30162.0;9.0;0.26968835507480593;2524.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
Adult;Loss;5-anonymity;Flash;1.0;0.18000000000000002;5.0;30162.0;9.0;0.26968835507480593;2717.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
Adult;Loss;5-anonymity;Flash;1.0;0.19000000000000003;5.0;30162.0;9.0;0.26968835507480593;2772.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
