;;;;;Time;Utility;Suppressed;Step;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Discernibility;5-anonymity;RGR;1.0;145529.0;0.0029468041649167213;0.0;1.0;1.0;7.644898409545877E-4;1.0;7.644898409545877E-4;1.0;0.9988532652385681;0.9996177550795227;0.9988532652385681;-0.1
Fars;Loss;5-anonymity;RGR;0.02;5154.0;0.2210023196202852;1591.0;0.0;0.8031524614363416;0.015762307181707402;0.6719207690605691;0.6719207690605691;0.015762307181707402;0.015762307181707402;0.6719207690605691;0.015762307181707402;-0.1
Fars;Loss;5-anonymity;RGR;0.02;5294.0;0.21349890471282998;28.0;1.0;0.8031524614363416;0.008019853968316872;0.6667591335849754;0.6667591335849754;2.774007549263402E-4;0.015762307181707402;0.6719207690605691;2.774007549263402E-4;-0.1
Fars;Loss;5-anonymity;RGR;0.02;5357.0;0.21345970187074711;0.0;2.0;0.8031524614363416;0.008019853968316872;0.6667591335849754;0.6667591335849754;2.774007549263402E-4;0.015484906426781062;0.6719207690605691;2.774007549263402E-4;-0.1
Fars;Loss;5-anonymity;RGR;0.05;4476.0;0.1666661866537311;4597.0;0.0;0.6182173038628055;0.04554325965701378;0.36369550643800913;0.36369550643800913;0.04554325965701378;0.04554325965701378;0.6818477532190045;0.04554325965701378;-0.1
Fars;Loss;5-anonymity;RGR;0.05;4851.0;0.13889232502341983;212.0;1.0;0.6182173038628055;0.023821789829299465;0.3492145265528663;0.33473354666772337;0.002100320001585147;0.002100320001585147;0.6818477532190045;0.002100320001585147;-0.1
Fars;Loss;5-anonymity;RGR;0.05;4929.0;0.13829640662455123;10.0;2.0;0.6182173038628055;0.023821789829299465;0.3492145265528663;0.33473354666772337;9.907169818797864E-5;0.002100320001585147;0.6811806704512055;9.907169818797864E-5;-0.1
Fars;Loss;5-anonymity;RGR;0.05;4991.0;0.13829640662455123;10.0;3.0;0.6182173038628055;0.023821789829299465;0.3492145265528663;0.33473354666772337;9.907169818797864E-5;0.002100320001585147;0.6811806704512055;9.907169818797864E-5;-0.1
Fars;Loss;5-anonymity;RGR;0.1;4937.0;0.16280366718500633;6438.0;0.0;0.6255129437173683;0.06378235929342065;0.37585490619561374;0.37585490619561374;0.06378235929342065;0.06378235929342065;0.37585490619561374;0.06378235929342065;-0.1
Fars;Loss;5-anonymity;RGR;0.1;5562.0;0.12154138441976053;393.0;1.0;0.6255129437173683;0.0338379385161041;0.35589195901073606;0.35589195901073606;0.0038935177387875606;0.0038935177387875606;0.35589195901073606;0.0038935177387875606;-0.1
