;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;19000.0;9.0;0.25879045759821223;1207.0;0.0;0.0;0.0022071458133275496;0.0022071458133275496
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;20000.0;9.0;0.2576933392522424;1335.2;0.0;0.0;0.002112345140740635;0.002112345140740635
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;21000.0;9.0;0.24813945258700326;1371.0;1.0;4.761904761904762E-5;0.005769593675917515;0.005760744044530148
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;22000.0;9.0;0.2472031312506112;1457.2;1.0;4.545454545454545E-5;0.005589463886019532;0.005580987071112465
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;23000.0;9.0;0.2188319358528063;1371.6;0.0;0.0;0.006238063233915706;0.006238063233915706
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;24000.0;9.0;0.21808281768652887;1498.4;0.0;0.0;0.006121934817120943;0.006121934817120943
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;25000.0;9.0;0.21737800676890565;1544.8;0.0;0.0;0.006010615827112558;0.006010615827112558
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;26000.0;9.0;0.21660596639416707;1644.2;1.0;3.846153846153846E-5;0.005709924233692373;0.0057036428132337886
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;27000.0;9.0;0.21705947534173525;1804.0;0.0;0.0;0.005675226213992483;0.005675226213992483
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;28000.0;9.0;0.21610400960882764;1758.8;0.0;0.0;0.005480542611331776;0.005480542611331776
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;29000.0;9.0;0.21527547311456424;1819.2;11.0;3.793103448275862E-4;0.005383743147301955;0.005321344774752556
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30000.0;9.0;0.21348078824461494;1844.4;0.0;0.0;0.0036726504265777627;0.0036726504265777627
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;1000.0;9.0;0.49557089246962854;112.2;100.0;0.1;0.010122222222222357;1.1312484508898538E-29
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;2000.0;9.0;0.42719782608035767;178.6;188.0;0.094;0.010169738148148286;1.134124506273472E-29
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;3000.0;9.0;0.41777222364203725;253.8;240.0;0.08;0.008788839506173261;2.445352394419609E-28
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;4000.0;9.0;0.38020146360229673;306.6;392.0;0.098;0.01164699148148213;1.82479893502303E-28
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;5000.0;9.0;0.3786922141790558;370.6;384.0;0.0768;0.011475581155555997;4.476806180381982E-28
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;6000.0;9.0;0.37347497224409887;431.2;417.0;0.0695;0.010466918796295657;8.183336251521857E-28
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;7000.0;9.0;0.35681666801029505;480.8;458.0;0.06542857142857143;0.008056772161753335;7.288811125831984E-28
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;8000.0;9.0;0.3327318243038532;560.6;784.0;0.098;0.014920917407407594;1.9363042870210017E-28
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;9000.0;9.0;0.3269727438532556;580.8;815.0;0.09055555555555556;0.013901260659579862;1.5613625335099663E-28
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;10000.0;9.0;0.32437520054276037;626.2;872.0;0.0872;0.01343553700740812;7.788268958076407E-28
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;11000.0;9.0;0.3221279300188607;712.4;927.0;0.08427272727272728;0.013026151081268552;1.706406115156384E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;12000.0;9.0;0.30849944221003617;782.0;1135.0;0.09458333333333334;0.01234076163301836;2.056939745311779E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;13000.0;9.0;0.30306342034123485;805.0;1141.0;0.08776923076923077;0.011537876143437287;2.9944571055611057E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;14000.0;9.0;0.3005328796255376;868.8;1183.0;0.0845;0.01114792199845791;2.977210360110675E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;15000.0;9.0;0.29773471950572195;880.6;1212.0;0.0808;0.010702869748148956;2.7634810977027223E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;16000.0;9.0;0.29730983810343536;975.0;1285.0;0.0803125;0.010643936930338768;3.0366241861354976E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;17000.0;9.0;0.2951847534005213;990.2;1321.0;0.07770588235294118;0.010327666343179052;3.646326014659649E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;18000.0;9.0;0.29310770460041746;1120.4;1347.0;0.07483333333333334;0.00997686122341958;4.4790234821277336E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;19000.0;9.0;0.2909938959357822;1100.4;1369.0;0.07205263157894737;0.00963500746306727;5.458288840595554E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;20000.0;9.0;0.2884444862835825;1228.6;1377.0;0.06885;0.009238521118751215;6.529008651611887E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;21000.0;9.0;0.29275917920175815;1220.4;1872.0;0.08914285714285715;0.016712927346932787;7.628466076498844E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;22000.0;9.0;0.29031443129580403;1308.0;1895.0;0.08613636363636364;0.01620255996040411;8.933499146781193E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;23000.0;9.0;0.2661282869549522;1177.6;2272.0;0.09878260869565217;0.01612609278536301;8.073355893652295E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;24000.0;9.0;0.2645680495260052;1316.6;2326.0;0.09691666666666666;0.01585423879865697;8.960084854927289E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;25000.0;9.0;0.26302118026650734;1343.2;2377.0;0.09508;0.015585418167852206;9.832475652952308E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;26000.0;9.0;0.2612048426508219;1439.8;2416.0;0.09292307692307693;0.015268163412958296;1.0699717284678014E-26
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;27000.0;9.0;0.26022723083495575;1585.4;2479.0;0.09181481481481482;0.01510449727221864;1.152081055344829E-26
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;28000.0;9.0;0.2580088199367118;1562.4;2496.0;0.08914285714285715;0.014708077762653609;9.899071742522626E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;29000.0;9.0;0.2558391055170087;1602.0;2510.0;0.08655172413793104;0.014321179338976297;8.718746830386782E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30000.0;9.0;0.255218763943235;1624.4;2574.0;0.0858;0.014208479470373212;7.604444851069809E-27
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;1000.0;9.0;0.2274793108309988;155.4;0.0;0.0;0.04250014996913584;0.04250014996913584
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;2000.0;9.0;0.18173197382845957;627.2;0.0;0.0;0.035956210061727896;0.035956210061727896
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;3000.0;9.0;0.16132601787529965;1444.6;0.0;0.0;0.03318369834019217;0.03318369834019217
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;4000.0;9.0;0.14664554325515367;2598.2;0.0;0.0;0.03283119788580306;0.03283119788580306
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;5000.0;9.0;0.1350660730585968;4044.4;0.0;0.0;0.030074554492592394;0.030074554492592394
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;6000.0;9.0;0.12602712319040765;6127.6;0.0;0.0;0.029428148140432493;0.029428148140432493
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;7000.0;9.0;0.12003889968825479;8460.4;0.0;0.0;0.028657743927311224;0.028657743927311224
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;8000.0;9.0;0.11381185019798809;10981.8;0.0;0.0;0.02726247817274518;0.02726247817274518
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;9000.0;9.0;0.10914250194380107;13781.6;0.0;0.0;0.027051256134355307;0.027051256134355307
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;10000.0;9.0;0.10507672864538886;17060.8;0.0;0.0;0.026738243346912965;0.026738243346912965
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;11000.0;9.0;0.10121694690002347;20687.6;0.0;0.0;0.026037515288235193;0.026037515288235193
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;12000.0;9.0;0.09785347052647685;24476.2;0.0;0.0;0.02556886856460084;0.02556886856460084
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;13000.0;9.0;0.09496125874981556;28557.0;0.0;0.0;0.024963447329973194;0.024963447329973194
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;14000.0;9.0;0.0927872808070712;33564.8;0.0;0.0;0.024921711472663026;0.024921711472663026
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;15000.0;9.0;0.09039970637105701;38421.4;0.0;0.0;0.02413757404060536;0.02413757404060536
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;16000.0;9.0;0.08817900079033292;43688.6;0.0;0.0;0.024065096630376794;0.024065096630376794
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;17000.0;9.0;0.08640771797360547;49013.0;0.0;0.0;0.0241797264940819;0.0241797264940819
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;18000.0;9.0;0.08458655212700167;55166.8;0.0;0.0;0.023971449149901444;0.023971449149901444
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;19000.0;9.0;0.08317664484908237;61957.2;0.0;0.0;0.02348079200018748;0.02348079200018748
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;20000.0;9.0;0.0811795373512767;68653.2;0.0;0.0;0.023188621092285675;0.023188621092285675
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;21000.0;9.0;0.07985306466411118;75565.2;0.0;0.0;0.022959687133547797;0.022959687133547797
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;22000.0;9.0;0.07843482125385708;82732.0;0.0;0.0;0.022807831801347933;0.022807831801347933
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;23000.0;9.0;0.07716330755125574;91513.6;0.0;0.0;0.02273163290222883;0.02273163290222883
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;24000.0;9.0;0.07597181596542464;100035.6;0.0;0.0;0.02241951541195348;0.02241951541195348
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;25000.0;9.0;0.07457702929606594;108087.2;0.0;0.0;0.021997603259458307;0.021997603259458307
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;26000.0;9.0;0.07353487349757662;118429.4;0.0;0.0;0.02195838406617662;0.02195838406617662
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;27000.0;9.0;0.07267686177976643;127944.2;0.0;0.0;0.021954095023796125;0.021954095023796125
