;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;25-anonymity;Flash;1.0;0.5;0.0;25;30162;9;0.315670248;6127.0;4027.0;0.1335123666;0.0082505109;0.0;2.0
Cup;Loss;25-anonymity;Flash;1.0;0.5;0.0;25;63441;8;0.2062545545;109577.0;3917.0;0.0617424063;3.530639E-4;0.0;2.0
Fars;Loss;25-anonymity;Flash;1.0;0.5;0.0;25;100937;8;0.2157558739;23399.0;6456.0;0.0639606884;0.0016680304;4.587E-7;3.0
Atus;Loss;25-anonymity;Flash;1.0;0.5;0.0;25;539253;9;0.1432237768;39079.0;47655.0;0.0883722483;0.00487134;5.38718E-5;4.0
Ihis;Loss;25-anonymity;Flash;1.0;0.5;0.0;25;1193504;9;0.1772733048;306341.0;67784.0;0.0567941121;0.0047206384;0.0;2.0
Adult;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;30162;9;0.3930568292;806.0;14.0;4.641602E-4;2.527086E-4;2.241517E-4;3.0
Adult;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;30162;9;0.3395298689;1133.0;0.0;0.0;8.279812E-4;8.279812E-4;3.0
Adult;Loss;50-anonymity;RGR;0.2;0.0;0.05;50;30162;9;0.264643402;1404.0;72.0;0.0023871096;0.0017942679;0.0016370011;4.0
Adult;Loss;50-anonymity;RGR;0.3;0.0;0.05;50;30162;9;0.2310525623;1518.0;49.0;0.0016245607;0.0014688331;0.0013576673;6.0
Adult;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;30162;9;0.1472947595;15999.0;15.0;4.973145E-4;0.0023913759;0.0023562498;68.0
Adult;Loss;50-anonymity;RGR;0.99999;0.0;0.05;50;30162;9;0.1437931243;55197.0;24.0;7.957032E-4;0.0024177409;0.0023614149;183.0
Cup;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;63441;8;0.2411003266;7260.0;4.0;6.30507E-5;1.00983E-5;9.7167E-6;4.0
Cup;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;63441;8;0.2061386171;8714.0;26.0;4.098296E-4;2.836668E-4;2.785872E-4;4.0
Cup;Loss;50-anonymity;RGR;0.2;0.0;0.05;50;63441;8;0.1727085285;9773.0;12.0;1.891521E-4;2.75714E-5;2.64322E-5;6.0
Cup;Loss;50-anonymity;RGR;0.3;0.0;0.05;50;63441;8;0.1757790086;10204.0;37.0;5.832191E-4;2.04741E-5;1.69313E-5;6.0
Cup;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;63441;8;0.1400900816;69002.0;27.0;4.255923E-4;0.0010743514;0.0010709864;43.0
Cup;Loss;50-anonymity;RGR;0.99999;0.0;0.05;50;63441;8;0.1390113371;189407.0;22.0;3.467789E-4;0.0010486359;0.0010458815;86.0
Fars;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;100937;8;0.2579503151;4169.0;8.0;7.92574E-5;3.714588E-4;3.694915E-4;6.0
Fars;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;100937;8;0.208403758;4647.0;59.0;5.84523E-4;2.672937E-4;2.528037E-4;4.0
Fars;Loss;50-anonymity;RGR;0.2;0.0;0.05;50;100937;8;0.1695996355;4746.0;0.0;0.0;4.78912E-4;4.78912E-4;6.0
Fars;Loss;50-anonymity;RGR;0.3;0.0;0.05;50;100937;8;0.1493739416;5665.0;49.0;4.854513E-4;3.203844E-4;3.073561E-4;7.0
Fars;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;100937;8;0.0855995886;38950.0;3.0;2.97215E-5;6.857185E-4;6.848664E-4;75.0
Fars;Loss;50-anonymity;RGR;0.99999;0.0;0.05;50;100937;8;0.0837263357;150081.0;42.0;4.161011E-4;7.733623E-4;7.615912E-4;215.0
Atus;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;539253;9;0.1976524872;23121.0;41.0;7.60311E-5;5.398439E-4;5.375741E-4;5.0
Atus;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;539253;9;0.1185326794;19833.0;44.0;8.15944E-5;0.0014195727;0.0014151443;8.0
Atus;Loss;50-anonymity;RGR;0.2;0.0;0.05;50;539253;9;0.0839122594;24460.0;0.0;0.0;0.005273385;0.005273385;15.0
Atus;Loss;50-anonymity;RGR;0.3;0.0;0.05;50;539253;9;0.0615404343;27577.0;34.0;6.30502E-5;0.0034221544;0.003418907;20.0
Atus;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;539253;9;0.0399370204;227768.0;9.0;1.66898E-5;0.0023054879;0.0023045052;223.0
Atus;Loss;50-anonymity;RGR;0.99999;0.0;0.05;50;539253;9;0.0374059053;2216432.0;77.0;1.427901E-4;0.0021939323;0.0021854805;702.0
Ihis;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;1193504;9;0.1867630669;79221.0;0.0;0.0;1.71007E-5;1.71007E-5;3.0
Ihis;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;1193504;9;0.1437035029;81535.0;49.0;4.10556E-5;1.26162E-4;1.225686E-4;5.0
Ihis;Loss;50-anonymity;RGR;0.2;0.0;0.05;50;1193504;9;0.1272722533;90545.0;18.0;1.50816E-5;0.0020094792;0.0020083036;7.0
Ihis;Loss;50-anonymity;RGR;0.3;0.0;0.05;50;1193504;9;0.1035802328;95003.0;32.0;2.68118E-5;3.305333E-4;3.282104E-4;8.0
Ihis;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;1193504;9;0.0667962203;813587.0;18.0;1.50816E-5;9.904536E-4;9.891823E-4;104.0
Ihis;Loss;50-anonymity;RGR;0.99999;0.0;0.05;50;1193504;9;0.0650494753;7622140.0;27.0;2.26225E-5;0.0015803259;0.0015784815;776.0
Adult;Loss;50-anonymity;Flash;1.0;0.5;0.0;50;30162;9;0.3590735855;6414.0;5124.0;0.1698826338;0.0091260212;0.0;2.0
Cup;Loss;50-anonymity;Flash;1.0;0.5;0.0;50;63441;8;0.2540126599;152481.0;3904.0;0.0615374915;2.04646E-4;0.0;2.0
Fars;Loss;50-anonymity;Flash;1.0;0.5;0.0;50;100937;8;0.2472326239;26753.0;7214.0;0.0714703231;0.0017215979;0.0;2.0
Atus;Loss;50-anonymity;Flash;1.0;0.5;0.0;50;539253;9;0.1738489432;54498.0;60132.0;0.1115098108;0.0059753122;5.29119E-5;3.0
Ihis;Loss;50-anonymity;Flash;1.0;0.5;0.0;50;1193504;9;0.2086046538;348290.0;82832.0;0.0694023648;0.0056869284;0.0;2.0
