;;;;;Time;Generalization degree;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Atus;Discernibility;5-anonymity;RGR;0.1;49975.0;0.5555555555555556;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
Atus;Discernibility;5-anonymity;RGR;1.0;63164.0;0.5555555555555556;0.0;1.0;0.0;0.5;0.5;1.0;1.0;0.0;1.0
Atus;Discernibility;5-anonymity;RGR;1.0;64443.0;0.7037037037037037;0.5;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0
Atus;Discernibility;5-anonymity;RGR;1.0;64613.0;0.4444444444444444;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
Atus;Loss;5-anonymity;RGR;0.02;29127.0;0.34814814814814815;0.5;0.8;0.0;0.0;0.5;0.0;0.5;0.3333333333333333;0.5
Atus;Loss;5-anonymity;RGR;0.02;30533.0;0.6074074074074074;0.5;0.8;0.0;1.0;0.5;0.5;1.0;0.6666666666666666;0.5
Atus;Loss;5-anonymity;RGR;0.02;30749.0;0.7222222222222222;0.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;1.0
Atus;Loss;5-anonymity;RGR;0.05;19941.0;0.15925925925925927;0.0;0.6;0.0;0.0;0.0;0.0;0.5;0.3333333333333333;0.0
Atus;Loss;5-anonymity;RGR;0.05;24601.0;0.5296296296296297;0.0;0.6;0.0;1.0;0.5;0.5;1.0;0.6666666666666666;0.5
Atus;Loss;5-anonymity;RGR;0.05;24887.0;0.6666666666666666;0.5;1.0;0.0;1.0;0.5;0.5;1.0;1.0;0.5
Atus;Loss;5-anonymity;RGR;0.05;25119.0;0.8333333333333334;0.5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
Atus;Loss;5-anonymity;RGR;0.1;21215.0;0.15925925925925927;0.0;0.6;0.0;0.0;0.0;0.0;0.5;0.3333333333333333;0.0
Atus;Loss;5-anonymity;RGR;0.1;27615.0;0.4962962962962963;0.0;0.8;0.0;1.0;0.5;0.0;1.0;0.6666666666666666;0.5
Atus;Loss;5-anonymity;RGR;0.1;27978.0;0.6296296296296297;0.5;1.0;0.0;1.0;0.5;0.5;1.0;0.6666666666666666;0.5
Atus;Loss;5-anonymity;RGR;0.1;28211.0;0.7777777777777778;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;0.5
Atus;Loss;5-anonymity;RGR;0.1;28435.0;0.6666666666666666;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0
Atus;Loss;5-anonymity;RGR;1.0;24245.0;0.15925925925925927;0.0;0.6;0.0;0.0;0.0;0.0;0.5;0.3333333333333333;0.0
Atus;Loss;5-anonymity;RGR;1.0;77496.0;0.4962962962962963;0.0;0.8;0.0;1.0;0.5;0.0;1.0;0.6666666666666666;0.5
Atus;Loss;5-anonymity;RGR;1.0;81379.0;0.6296296296296297;0.5;1.0;0.0;1.0;0.5;0.5;1.0;0.6666666666666666;0.5
Atus;Loss;5-anonymity;RGR;1.0;82002.0;0.7777777777777778;1.0;1.0;0.0;1.0;1.0;0.5;1.0;1.0;0.5
Atus;Loss;5-anonymity;RGR;1.0;82333.0;0.6666666666666666;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0
