;;;;;Privacy Strength;Records;QIs;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;5001.0;9.0;0.1359056115629056;4687.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;6001.0;9.0;0.12567172538114485;6601.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;7001.0;9.0;0.11971523457704081;9292.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;8001.0;9.0;0.1142935306083518;12028.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;9001.0;9.0;0.10955370404398176;15076.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;10001.0;9.0;0.1051063861984223;18903.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;11001.0;9.0;0.10215089084742723;23232.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;12001.0;9.0;0.09785667036047378;28041.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;13001.0;9.0;0.09463483513502373;32517.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;14001.0;9.0;0.09289446436311735;39097.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;15001.0;9.0;0.09030713134711266;44908.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;16001.0;9.0;0.08782704479403694;52021.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;17001.0;9.0;0.08612085227417825;61577.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;18001.0;9.0;0.08423156690791853;70783.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;19001.0;9.0;0.08303149601261521;78871.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;20001.0;9.0;0.08150785737002421;90591.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;21001.0;9.0;0.07968089353187688;102596.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;22001.0;9.0;0.07828721337765189;113871.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;23001.0;9.0;0.07696357012850405;130103.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;24001.0;9.0;0.07616287707268321;140858.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;25001.0;9.0;0.07501773344691236;141840.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;26001.0;9.0;0.07396706311659934;178728.0
