;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Ihis;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;1193504;9;0.0501288491;739439.0;0.0;0.0;0.0181078338;0.0181078338
Ihis;Loss;25-anonymity;RGR;0.999;0.0;0.05;25;1193504;9;0.0486545605;4581016.0;0.0;0.0;0.018487635;0.018487635
Fars;Loss;25-anonymity;Flash;0.05;0.5;0.0;25;100937;8;0.2255108383;4876.0;4631.0;0.0458801034;0.0098418021;0.0
Fars;Loss;25-anonymity;Flash;0.1;0.5;0.0;25;100937;8;0.2157558739;5069.0;6456.0;0.0639606884;0.0148674023;5.6188E-6
Fars;Loss;25-anonymity;Flash;0.2;0.5;0.0;25;100937;8;0.2157558739;5663.0;6456.0;0.0639606884;0.0148674023;5.6188E-6
Fars;Loss;25-anonymity;Flash;0.3;0.5;0.0;25;100937;8;0.2157558739;6630.0;6456.0;0.0639606884;0.0148674023;5.6188E-6
Fars;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;100937;8;0.2157558739;26251.0;6456.0;0.0639606884;0.0148674023;5.6188E-6
Fars;Loss;25-anonymity;Flash;0.999;0.5;0.0;25;100937;8;0.2157558739;26796.0;6456.0;0.0639606884;0.0148674023;5.6188E-6
Atus;Loss;25-anonymity;Flash;0.05;0.5;0.0;25;539253;9;0.1675216678;24627.0;26526.0;0.0491902688;0.0108393365;0.0021049489
Atus;Loss;25-anonymity;Flash;0.1;0.5;0.0;25;539253;9;0.1432237768;23864.0;47655.0;0.0883722483;0.0208775555;0.0011546249
Atus;Loss;25-anonymity;Flash;0.2;0.5;0.0;25;539253;9;0.1432237768;35426.0;47655.0;0.0883722483;0.0208775555;0.0011546249
Atus;Loss;25-anonymity;Flash;0.3;0.5;0.0;25;539253;9;0.1432237768;42323.0;47655.0;0.0883722483;0.0208775555;0.0011546249
Atus;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;539253;9;0.1432237768;45559.0;47655.0;0.0883722483;0.0208775555;0.0011546249
Atus;Loss;25-anonymity;Flash;0.999;0.5;0.0;25;539253;9;0.1432237768;50352.0;47655.0;0.0883722483;0.0208775555;0.0011546249
