;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;50-anonymity;RGR;1.0;0.475;0.01;50;30162;9;0.2675029157;7342.0;14.0;4.641602E-4;5.371013E-4;5.078324E-4;4.0
Adult;Loss;50-anonymity;RGR;1.0;0.5;0.01;50;30162;9;0.2722401334;7174.0;14.0;4.641602E-4;2.649732E-4;2.352881E-4;4.0
Cup;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;63441;8;0.0716835653;57104.0;0.0;0.0;1.829405E-4;1.829405E-4;27.0
Cup;Loss;5-anonymity;RGR;1.0;0.025;0.01;5;63441;8;0.0761289949;31490.0;0.0;0.0;1.614081E-4;1.614081E-4;14.0
Cup;Loss;5-anonymity;RGR;1.0;0.05;0.01;5;63441;8;0.0854105829;15546.0;0.0;0.0;1.176998E-4;1.176998E-4;7.0
Cup;Loss;5-anonymity;RGR;1.0;0.075;0.01;5;63441;8;0.0948263817;15890.0;0.0;0.0;2.706694E-4;2.706694E-4;5.0
Cup;Loss;5-anonymity;RGR;1.0;0.1;0.01;5;63441;8;0.0948263817;17383.0;0.0;0.0;2.706694E-4;2.706694E-4;5.0
Cup;Loss;5-anonymity;RGR;1.0;0.125;0.01;5;63441;8;0.1040420212;18091.0;0.0;0.0;1.81694E-4;1.81694E-4;4.0
Cup;Loss;5-anonymity;RGR;1.0;0.15;0.01;5;63441;8;0.1040420212;19449.0;0.0;0.0;1.81694E-4;1.81694E-4;4.0
Cup;Loss;5-anonymity;RGR;1.0;0.175;0.01;5;63441;8;0.1025829751;21246.0;0.0;0.0;3.361398E-4;3.361398E-4;4.0
Cup;Loss;5-anonymity;RGR;1.0;0.2;0.01;5;63441;8;0.1081523037;21424.0;0.0;0.0;1.830235E-4;1.830235E-4;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.225;0.01;5;63441;8;0.1139617788;21721.0;0.0;0.0;1.076558E-4;1.076558E-4;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.25;0.01;5;63441;8;0.1139617788;21539.0;0.0;0.0;1.076558E-4;1.076558E-4;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.275;0.01;5;63441;8;0.1139617788;21593.0;0.0;0.0;1.076558E-4;1.076558E-4;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.3;0.01;5;63441;8;0.1139617788;22878.0;0.0;0.0;1.076558E-4;1.076558E-4;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.325;0.01;5;63441;8;0.1139617788;23698.0;0.0;0.0;1.076558E-4;1.076558E-4;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.35;0.01;5;63441;8;0.1139617788;24161.0;0.0;0.0;1.076558E-4;1.076558E-4;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.375;0.01;5;63441;8;0.1139617788;25235.0;0.0;0.0;1.076558E-4;1.076558E-4;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.4;0.01;5;63441;8;0.1148797339;25704.0;0.0;0.0;2.46779E-5;2.46779E-5;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.425;0.01;5;63441;8;0.1148797339;26532.0;0.0;0.0;2.46779E-5;2.46779E-5;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.45;0.01;5;63441;8;0.1148797339;28630.0;0.0;0.0;2.46779E-5;2.46779E-5;3.0
Cup;Loss;5-anonymity;RGR;1.0;0.475;0.01;5;63441;8;0.1148797339;27998.0;0.0;0.0;2.46779E-5;2.46779E-5;3.0
