;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.05;0.0;5.0;63441.0;8.0;0.12410355266152488;9053.6;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.05;5.0;63441.0;8.0;0.12410355266152488;9182.2;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.1;5.0;63441.0;8.0;0.12410355266152488;9016.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.15;5.0;63441.0;8.0;0.12410355266152488;9265.6;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.2;5.0;63441.0;8.0;0.12410355266152488;9252.8;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.25;5.0;63441.0;8.0;0.12410355266152488;9174.6;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.3;5.0;63441.0;8.0;0.12410355266152488;9391.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.35;5.0;63441.0;8.0;0.12410355266152488;9263.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.4;5.0;63441.0;8.0;0.12410355266152488;9437.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.45;5.0;63441.0;8.0;0.12410355266152488;9800.0;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.5;5.0;63441.0;8.0;0.12410355266152488;9107.8;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.1;0.0;5.0;63441.0;8.0;0.11301330892078014;9405.4;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.05;5.0;63441.0;8.0;0.11301330892078014;8969.4;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.1;5.0;63441.0;8.0;0.11301330892078014;9277.6;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.15;5.0;63441.0;8.0;0.11301330892078014;9475.4;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.2;5.0;63441.0;8.0;0.11301330892078014;9312.0;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.25;5.0;63441.0;8.0;0.12265762490614267;9100.0;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.3;5.0;63441.0;8.0;0.12265762490614267;9066.2;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
