;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Ihis;Loss;50-anonymity;Flash;0.1;0.5;0.0;50;1193504;9;0.2086046538;80533.0;82832.0;0.0694023648;0.0056869284;0.0;2.0
Adult;NMEntropy;5-anonymity;Flash;0.05;0.5;0.0;5;30162;9;0.4734484878;811.0;1285.0;0.0426032756;0.0012735739;0.0;2.0
Adult;NMEntropy;5-anonymity;Flash;0.1;0.5;0.0;5;30162;9;0.4504826653;1222.0;1999.0;0.0662754459;0.0020106225;0.0;2.0
Adult;NMEntropy;10-anonymity;Flash;0.05;0.5;0.0;10;30162;9;0.5202786939;697.0;1320.0;0.0437636761;1.442211E-4;0.0;2.0
Adult;NMEntropy;10-anonymity;Flash;0.1;0.5;0.0;10;30162;9;0.5009641687;1031.0;2437.0;0.0807970294;0.0023189749;0.0;2.0
Adult;NMEntropy;25-anonymity;Flash;0.05;0.5;0.0;25;30162;9;0.5698449267;525.0;1066.0;0.0353424839;1.026976E-4;0.0;2.0
Adult;NMEntropy;25-anonymity;Flash;0.1;0.5;0.0;25;30162;9;0.5617707822;786.0;2954.0;0.0979378025;0.002720175;0.0;2.0
Adult;NMEntropy;50-anonymity;Flash;0.05;0.5;0.0;50;30162;9;0.6195688144;486.0;936.0;0.0310324249;2.23918E-5;0.0;2.0
Adult;NMEntropy;50-anonymity;Flash;0.1;0.5;0.0;50;30162;9;0.593512563;581.0;2760.0;0.0915058683;2.504156E-4;0.0;2.0
Cup;NMEntropy;5-anonymity;Flash;0.05;0.5;0.0;5;63441;8;0.6450948318;1420.0;2963.0;0.0467048123;4.563024E-4;0.0;2.0
Cup;NMEntropy;5-anonymity;Flash;0.1;0.5;0.0;5;63441;8;0.6450948318;2390.0;2963.0;0.0467048123;4.563024E-4;0.0;2.0
Cup;NMEntropy;10-anonymity;Flash;0.05;0.5;0.0;10;63441;8;0.6750508439;1229.0;1275.0;0.0200974133;5.11149E-5;0.0;2.0
Cup;NMEntropy;10-anonymity;Flash;0.1;0.5;0.0;10;63441;8;0.6692125597;1587.0;3536.0;0.0557368263;1.425237E-4;0.0;2.0
Cup;NMEntropy;25-anonymity;Flash;0.05;0.5;0.0;25;63441;8;0.699041384;771.0;1613.0;0.0254251982;1.1027E-6;0.0;2.0
Cup;NMEntropy;25-anonymity;Flash;0.1;0.5;0.0;25;63441;8;0.6990232873;939.0;5484.0;0.0864425214;0.0010835348;0.0;2.0
Cup;NMEntropy;50-anonymity;Flash;0.05;0.5;0.0;50;63441;8;0.7227291624;554.0;2628.0;0.0414243155;2.4094E-4;0.0;2.0
Cup;NMEntropy;50-anonymity;Flash;0.1;0.5;0.0;50;63441;8;0.7159937714;638.0;4631.0;0.0729969578;6.935051E-4;0.0;2.0
Fars;NMEntropy;5-anonymity;Flash;0.05;0.5;0.0;5;100937;8;0.4308525451;3855.0;4546.0;0.045037994;5.332671E-4;0.0;2.0
Fars;NMEntropy;5-anonymity;Flash;0.1;0.5;0.0;5;100937;8;0.4141133081;4119.0;7922.0;0.0784845993;0.001901251;0.0;2.0
Fars;NMEntropy;10-anonymity;Flash;0.05;0.5;0.0;10;100937;8;0.4742800854;3796.0;4480.0;0.0443841208;0.0011128498;0.0;2.0
Fars;NMEntropy;10-anonymity;Flash;0.1;0.5;0.0;10;100937;8;0.4602941662;3978.0;8863.0;0.0878072461;9.931083E-4;0.0;2.0
Fars;NMEntropy;25-anonymity;Flash;0.05;0.5;0.0;25;100937;8;0.5416090157;3383.0;4923.0;0.048772997;0.0011823629;0.0;2.0
Fars;NMEntropy;25-anonymity;Flash;0.1;0.5;0.0;25;100937;8;0.5114746727;3855.0;9821.0;0.0972983148;0.0024628823;7.76E-7;2.0
Fars;NMEntropy;50-anonymity;Flash;0.05;0.5;0.0;50;100937;8;0.583044896;3044.0;5040.0;0.0499321359;5.50114E-4;0.0;2.0
Fars;NMEntropy;50-anonymity;Flash;0.1;0.5;0.0;50;100937;8;0.5566717024;3411.0;9990.0;0.0989726265;7.668156E-4;0.0;2.0
Atus;NMEntropy;5-anonymity;Flash;0.05;0.5;0.0;5;539253;9;0.2556833415;8858.0;24423.0;0.0452904295;0.002558227;5.75945E-5;2.0
Atus;NMEntropy;5-anonymity;Flash;0.1;0.5;0.0;5;539253;9;0.2289821385;18063.0;47285.0;0.0876861139;0.0049459138;7.30675E-5;2.0
Atus;NMEntropy;10-anonymity;Flash;0.05;0.5;0.0;10;539253;9;0.2976239137;11464.0;25507.0;0.0473006177;0.002340691;2.723E-6;2.0
Atus;NMEntropy;10-anonymity;Flash;0.1;0.5;0.0;10;539253;9;0.2765787242;18945.0;45072.0;0.0835822888;0.0047156653;5.12493E-5;2.0
Atus;NMEntropy;25-anonymity;Flash;0.05;0.5;0.0;25;539253;9;0.3615544183;13619.0;19052.0;0.0353303551;0.0017125349;2.723E-6;2.0
Atus;NMEntropy;25-anonymity;Flash;0.1;0.5;0.0;25;539253;9;0.3294314957;20043.0;49713.0;0.0921886387;0.0050123124;5.81716E-5;2.0
Atus;NMEntropy;50-anonymity;Flash;0.05;0.5;0.0;50;539253;9;0.3920427408;12659.0;26272.0;0.0487192468;0.0021933634;1.08919E-5;2.0
Atus;NMEntropy;50-anonymity;Flash;0.1;0.5;0.0;50;539253;9;0.3768742974;18954.0;51942.0;0.0963221345;0.0049402503;5.44729E-5;2.0
Ihis;NMEntropy;5-anonymity;Flash;0.05;0.5;0.0;5;1193504;9;0.3579941217;51513.0;53420.0;0.0447589618;0.0036351426;0.0;2.0
Ihis;NMEntropy;5-anonymity;Flash;0.1;0.5;0.0;5;1193504;9;0.3556053313;72554.0;98866.0;0.0828367563;0.0044571307;0.0;2.0
Ihis;NMEntropy;10-anonymity;Flash;0.05;0.5;0.0;10;1193504;9;0.397235958;51516.0;56871.0;0.0476504478;0.0029128489;0.0;2.0
Ihis;NMEntropy;10-anonymity;Flash;0.1;0.5;0.0;10;1193504;9;0.395900482;73236.0;106464.0;0.089202885;0.0030737335;0.0;2.0
Ihis;NMEntropy;25-anonymity;Flash;0.05;0.5;0.0;25;1193504;9;0.4430174184;46280.0;50546.0;0.0423509263;0.0023144397;0.0;2.0
Ihis;NMEntropy;25-anonymity;Flash;0.1;0.5;0.0;25;1193504;9;0.4430174184;67771.0;50546.0;0.0423509263;0.0023144397;0.0;2.0
Ihis;NMEntropy;50-anonymity;Flash;0.05;0.5;0.0;50;1193504;9;0.4799774657;54399.0;48200.0;0.0403852857;0.0014041678;0.0;2.0
Ihis;NMEntropy;50-anonymity;Flash;0.1;0.5;0.0;50;1193504;9;0.4793622985;65321.0;74024.0;0.0620224147;0.0021181941;0.0;2.0
